latitude,longitude,timestamp,magnitude
38.7518349,-122.7226639,7/28/2016 7:26,1.06
59.9036,-152.7005,7/28/2016 7:33,1.4
61.1471,-150.9438,7/28/2016 7:37,1.2
19.6149,-65.2881,7/28/2016 7:39,2.6
18.3805,-64.5873,7/28/2016 7:57,2.2
33.9483333,-116.7331667,7/28/2016 7:58,0.68
61.0838,-148.5622,7/28/2016 7:58,1.6
60.0372,-150.3999,7/28/2016 8:04,1.5
68.9615,-147.5099,7/28/2016 8:08,2.4
59.9948,-152.0532,7/28/2016 8:14,1.4
37.2592,-117.3265,7/28/2016 8:20,1.2
61.0663,-148.2406,7/28/2016 8:24,1.4
60.8833,-140.5022,7/28/2016 8:26,1.3
44.5768333,-110.7581667,7/28/2016 8:34,2.16
18.4454,-64.2626,7/28/2016 8:36,2.4
38.793,-122.7588333,7/28/2016 8:43,1.31
62.4726,-148.6077,7/28/2016 8:48,1.5
61.2863,-149.3592,7/28/2016 8:51,1.4
51.7808,-177.2855,7/28/2016 9:01,1.4
37.1517,-117.3861,7/28/2016 9:09,0.4
37.1512,-117.3781,7/28/2016 9:09,0.6
68.9415,-147.4935,7/28/2016 9:10,1.3
44.5706667,-110.7598333,7/28/2016 9:11,1.86
58.4109,-153.7017,7/28/2016 9:12,1.8
62.302,-150.0184,7/28/2016 9:14,1.9
52.0702,177.3202,7/28/2016 9:23,2.1
37.2661,-117.145,7/28/2016 9:25,0.3
19.5503,-65.2685,7/28/2016 9:26,3.1
65.977,-147.7564,7/28/2016 9:26,1.4
59.5384,-152.6402,7/28/2016 9:28,1.4
63.0549,-150.9262,7/28/2016 9:30,1.8
61.396,-149.8677,7/28/2016 9:33,1.1
37.5921667,-118.9408333,7/28/2016 9:35,0.5
68.9428,-147.5063,7/28/2016 9:38,0.9
37.5816667,-118.9388333,7/28/2016 9:47,0.73
36.6889,-98.2606,7/28/2016 9:48,2.7
64.8939,-148.3138,7/28/2016 9:51,0.4
44.5698333,-110.761,7/28/2016 9:56,1.63
44.5725,-110.7548333,7/28/2016 9:59,0.74
34.0753333,-116.6896667,7/28/2016 10:00,0.88
52.7623,-166.7218,7/28/2016 10:00,2.3
44.5716667,-110.7626667,7/28/2016 10:11,0.57
44.5711667,-110.7478333,7/28/2016 10:11,0.98
61.5159,-146.6768,7/28/2016 10:13,1.2
63.0933,-150.4281,7/28/2016 10:14,1
35.7323333,-121.0626667,7/28/2016 10:20,1.26
37.5785,-118.8446667,7/28/2016 10:28,2.25
53.8178,-163.2453,7/28/2016 10:42,1.8
38.2651,-118.728,7/28/2016 10:45,0.5
33.9481667,-116.323,7/28/2016 11:10,0.93
38.8131667,-122.8168333,7/28/2016 11:20,1.91
38.8103333,-122.8195038,7/28/2016 11:21,0.88
38.6522,-118.7445,7/28/2016 11:25,0.4
64.7505,-148.4959,7/28/2016 11:26,0.3
33.5206667,-116.5496667,7/28/2016 11:31,0.3
44.572,-110.7541667,7/28/2016 11:31,0.81
41.8516667,-122.3303333,7/28/2016 11:31,1.38
33.962,-116.3305,7/28/2016 11:33,1.25
26.9417,53.7754,7/28/2016 11:34,4.6
-16.8242,-172.5158,7/28/2016 11:44,5.1
38.8225,-122.7768333,7/28/2016 11:51,1.19
38.6653,-118.7809,7/28/2016 11:52,0.4
33.953,-116.3228333,7/28/2016 11:55,1.15
38.4878,-118.3646,7/28/2016 11:57,0.1
51.8713,-174.0807,7/28/2016 11:58,1.7
33.9323333,-116.8348333,7/28/2016 11:59,0.55
61.7884,-149.7836,7/28/2016 12:01,1.1
59.9415,-152.772,7/28/2016 12:06,1.4
35.2862,39.0889,7/28/2016 12:13,4.4
51.485,-178.1456,7/28/2016 12:17,1.3
33.9461667,-116.3256667,7/28/2016 12:25,0.79
33.9471667,-116.3253333,7/28/2016 12:27,0.78
34.4761667,-118.4605,7/28/2016 12:33,1.49
59.8892,-151.7415,7/28/2016 12:34,1.2
64.798,-147.8794,7/28/2016 12:36,0.2
37.4766667,-118.7876667,7/28/2016 12:43,0.77
52.7936,-166.8035,7/28/2016 12:49,2.5
59.481,-152.7985,7/28/2016 12:58,1.5
38.8143349,-122.8263321,7/28/2016 12:59,0.56
33.9486667,-116.324,7/28/2016 13:01,1.16
62.272,-148.5621,7/28/2016 13:04,1.1
52.6289,-166.7741,7/28/2016 13:08,2.3
52.778,-166.8498,7/28/2016 13:11,2.5
